alpha,run_idx,algorithm,nue,sq_error,rel_sq_error,rmse,elapsed_sec
0.5,5,EaseSHAP_order2,3000,0.0889426890659651,0.00019566706450403328,0.047154715847400955,31.7089
0.5,5,EaseSHAP_order2,3500,0.065645984886974221,0.00014441610990402994,0.040511104924135996,31.7089
0.5,5,EaseSHAP_order2,4000,0.051307647086903559,0.00011287287125597995,0.035814678236340325,31.7089
0.5,5,EaseSHAP_order2,4500,0.045801035507811498,0.00010075874996776756,0.033838231154942,31.7089
0.5,5,EaseSHAP_order2,5000,0.0439524555334245,9.6692016424092231e-05,0.033148324065261768,31.7089
0.5,5,PolySHAP_regression,500,2.0231002710667689,0.0044506647527078943,0.22489443473921097,152.323
0.5,5,PolySHAP_regression,1000,0.86731668341568957,0.0019080298922990574,0.14725120402017852,152.323
0.5,5,PolySHAP_regression,1500,0.50100707550416268,0.0011021769724878102,0.11191593670074011,152.323
0.5,5,PolySHAP_regression,2000,0.31559225385304607,0.00069427864774629258,0.088824581880953157,152.323
0.5,5,PolySHAP_regression,2500,0.30034883972765797,0.00066074431090246371,0.086652876427683864,152.323
0.5,5,PolySHAP_regression,3000,0.26479088035635934,0.00058251953938947762,0.081361981348225448,152.323
0.5,5,PolySHAP_regression,3500,0.21020391627453172,0.00046243242335730156,0.072492054094661251,152.323
0.5,5,PolySHAP_regression,4000,0.16698794352985435,0.00036736061233564568,0.064611907480327177,152.323
0.5,5,PolySHAP_regression,4500,0.14830784181822368,0.00032626582753730529,0.060890853545139206,152.323
0.5,5,PolySHAP_regression,5000,0.12731300439284318,0.00028007880247764142,0.056416532238529868,152.323
0.5,6,EaseSHAP_order2,500,0.74467768743909724,0.0016382335482885381,0.13644391589945457,31.7892
0.5,6,EaseSHAP_order2,1000,0.27340816373453464,0.00060147689901412799,0.082675293125354959,31.7892
0.5,6,EaseSHAP_order2,1500,0.15342259620372461,0.0003375178931851952,0.061931937682371249,31.7892
0.5,6,EaseSHAP_order2,2000,0.13473999381211763,0.00029641760708353946,0.058038778806096016,31.7892
0.5,6,EaseSHAP_order2,2500,0.096946197525347833,0.00021327416658770384,0.049230630080608309,31.7892
0.5,6,EaseSHAP_order2,3000,0.076099041473642201,0.00016741202917392009,0.043617382278640426,31.7892
0.5,6,EaseSHAP_order2,3500,0.052538635964221231,0.00011558095196043476,0.036241770087918318,31.7892
0.5,6,EaseSHAP_order2,4000,0.049173510857789628,0.00010817793594890004,0.035061913402504724,31.7892
0.5,6,EaseSHAP_order2,4500,0.050094405020671813,0.00011020383216884024,0.035388700534447363,31.7892
0.5,6,EaseSHAP_order2,5000,0.042899168994120392,9.437486717448504e-05,0.032748728599031295,31.7892
