method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
LeverageSHAP,LeverageSHAP,11,2037,7,3500,0.2503906789560853,5.551115123125783e-17,0.0061485717381933435,0.004837315305478842,0.4029499561731396,0.3758463385354141,2,4,6,0.006297784724108347,0.004880476903832926,0.3267365902218348,0.3182232893157263,2,3,5
LeverageSHAP,LeverageSHAP,11,2037,8,4000,0.2503906789560853,5.551115123125783e-17,0.005858480505563668,0.004627216722289828,0.4211000092374252,0.39755102040816326,0,4,5,0.006014575352398634,0.004730904736380345,0.34195525463682475,0.32168067226890756,0,3,5
LeverageSHAP,LeverageSHAP,11,2037,9,4500,0.25039067895608524,0.0,0.005536330292020436,0.004477567846191748,0.45015151983894025,0.38957983193277307,1,4,6,0.005692610612055119,0.00458806579740197,0.37254681624900293,0.32129651860744296,1,3,6
LeverageSHAP,LeverageSHAP,11,2037,10,5000,0.2503906789560853,5.551115123125783e-17,0.0052827238427193566,0.004091806091647538,0.4278859763272546,0.36720288115246097,0,4,6,0.005431728543529741,0.004269171422394874,0.35225598785559786,0.3041056422569028,0,3,6
LeverageSHAP,LeverageSHAP,11,2037,11,5500,0.25039067895608524,0.0,0.00499096589648706,0.0037624787238607392,0.4098924501474783,0.34376950780312115,0,3,6,0.0051114154955810955,0.003874117332778613,0.34809204922454395,0.3040096038415366,0,2,6
LeverageSHAP,LeverageSHAP,11,2037,12,6000,0.25039067895608524,0.0,0.004818368615830425,0.003617183423966223,0.40881564365621315,0.31793517406962785,0,3,5,0.004927763480086689,0.0036655416232573962,0.3526054954696904,0.2807683073229292,0,2,5
LeverageSHAP,LeverageSHAP,11,2037,13,6500,0.25039067895608524,0.0,0.004404919520515221,0.003322934552123902,0.40172084109114653,0.31899159663865545,0,3,5,0.004493010153291236,0.003452665417147222,0.35553502797581227,0.2963265306122449,0,2,5
LeverageSHAP,LeverageSHAP,11,2037,14,7000,0.2503906789560853,5.551115123125783e-17,0.00436826580138728,0.0033415268192294916,0.41725768095670757,0.3342617046818727,0,4,6,0.004477599734701761,0.0034487192042214456,0.36041562831886215,0.29546218487394954,0,3,6
LeverageSHAP,LeverageSHAP,11,2037,15,7500,0.25039067895608524,0.0,0.004101496373390325,0.003090749930679775,0.4129217589774623,0.3381032412965186,0,4,8,0.00423839792021361,0.0032773867767601295,0.33966965015646233,0.2896998799519808,0,3,8
LeverageSHAP,LeverageSHAP,11,2037,16,8000,0.25039067895608524,0.0,0.003845928870442615,0.002996348475351122,0.43793563492236265,0.3768067226890756,0,4,7,0.003982448642515011,0.0031435173976553142,0.36594865241167573,0.33714285714285713,0,2,7
LeverageSHAP,LeverageSHAP,11,2037,17,8500,0.25039067895608524,0.0,0.0037958431413469534,0.002970046840069298,0.4487866600514278,0.3966866746698679,0,5,8,0.003915089791519384,0.0030808127256528994,0.3868741184376634,0.36076830732292914,0,3,8
LeverageSHAP,LeverageSHAP,11,2037,18,9000,0.2503906789560853,5.551115123125783e-17,0.003633170838870157,0.0028861513589975045,0.43108692902854606,0.3793997599039616,0,5,8,0.0037592606026970606,0.0029989228268500288,0.3631946602231887,0.33608643457382953,0,3,8
LeverageSHAP,LeverageSHAP,11,2037,19,9500,0.2503906789560853,5.551115123125783e-17,0.0034338535423069703,0.002774397584668685,0.451185935343882,0.3936134453781513,0,6,8,0.0035653809473238838,0.002897726761024974,0.38101912638240154,0.3454021608643457,0,4,8
LeverageSHAP,LeverageSHAP,11,2037,20,10000,0.25039067895608524,0.0,0.003271291550166009,0.002656799449048072,0.44458146413830996,0.3833373349339736,0,6,7,0.003379074025063527,0.0027737980714759402,0.3856890065768603,0.3571188475390156,0,4,7
complement,Complement,11,2037,1,500,0.4529890830025098,0.20259840404642454,0.0044202046629727475,0.004047563593118998,0.5289473607377099,0.4656422569027611,2,5,7,0.004422773007071575,0.004053212568743171,0.5288867388543507,0.46084033613445374,2,5,7
