mask,n_states,n_train,utility,log_loss,mode,elapsed_sec
4112,2,1000,-0.4597490149664432,0.4597490149664432,ridge_fixed,0.0032226660405285656
4128,2,1000,-0.4568855265421624,0.4568855265421624,ridge_fixed,0.0030746249831281602
4224,2,1000,-0.45466935823654636,0.45466935823654636,ridge_fixed,0.0031987089896574616
4352,2,1000,-0.46358284155361273,0.46358284155361273,ridge_fixed,0.003208499983884394
4608,2,1000,-0.46153753251877144,0.46153753251877144,ridge_fixed,0.0031655420316383243
5120,2,1000,-0.46341796273372904,0.46341796273372904,ridge_fixed,0.003235583018977195
8194,2,1000,-0.47366351623570213,0.47366351623570213,ridge_fixed,0.002968750020954758
8196,2,1000,-0.46330962205060017,0.46330962205060017,ridge_fixed,0.003161708009429276
8208,2,1000,-0.4638154215785838,0.4638154215785838,ridge_fixed,0.0032367080566473305
8224,2,1000,-0.46293879556622003,0.46293879556622003,ridge_fixed,0.003737624967470765
8256,2,1000,-0.47797715630095766,0.47797715630095766,ridge_fixed,0.0032134170178323984
8320,2,1000,-0.4716816873982036,0.4716816873982036,ridge_fixed,0.003158833016641438
8448,2,1000,-0.4774313499460398,0.4774313499460398,ridge_fixed,0.0029233749955892563
9216,2,1000,-0.4722590319285716,0.4722590319285716,ridge_fixed,0.003014416026417166
10240,2,1000,-0.4704493788232894,0.4704493788232894,ridge_fixed,0.002955625008326024
16385,2,1000,-0.4742310549207998,0.4742310549207998,ridge_fixed,0.0028260420076549053
16388,2,1000,-0.47833067978650756,0.47833067978650756,ridge_fixed,0.0031100419582799077
16400,2,1000,-0.4716646311373609,0.4716646311373609,ridge_fixed,0.003350166021846235
16512,2,1000,-0.4678051427299419,0.4678051427299419,ridge_fixed,0.00344941602088511
16640,2,1000,-0.47290999721027904,0.47290999721027904,ridge_fixed,0.002938791993074119
17408,2,1000,-0.47912285284865347,0.47912285284865347,ridge_fixed,0.002876750018913299
20480,2,1000,-0.46546721672787317,0.46546721672787317,ridge_fixed,0.0031416669953614473
24576,2,1000,-0.4746090396664297,0.4746090396664297,ridge_fixed,0.003567042003851384
32770,2,1000,-0.46218220628656914,0.46218220628656914,ridge_fixed,0.003011916996911168
32772,2,1000,-0.47883629439026093,0.47883629439026093,ridge_fixed,0.0030191249679774046
32832,2,1000,-0.4576958552906341,0.4576958552906341,ridge_fixed,0.0032590419868938625
32896,2,1000,-0.45901265688351234,0.45901265688351234,ridge_fixed,0.002845749957486987
33024,2,1000,-0.4709855611395909,0.4709855611395909,ridge_fixed,0.0029852089937776327
33280,2,1000,-0.4675165222904052,0.4675165222904052,ridge_fixed,0.002982792037073523
33792,2,1000,-0.47748363162215934,0.47748363162215934,ridge_fixed,0.0031370409997180104
34816,2,1000,-0.48658308502083,0.48658308502083,ridge_fixed,0.0028873750125057995
36864,2,1000,-0.4646438046480477,0.4646438046480477,ridge_fixed,0.002914957993198186
40960,2,1000,-0.47125485577142073,0.47125485577142073,ridge_fixed,0.0030846670269966125
49152,2,1000,-0.4832432698378569,0.4832432698378569,ridge_fixed,0.002956166979856789
65537,2,1000,-0.47928381715809126,0.47928381715809126,ridge_fixed,0.002913417003583163
65538,2,1000,-0.46986760267192784,0.46986760267192784,ridge_fixed,0.0035565419821068645
65540,2,1000,-0.4805129338863944,0.4805129338863944,ridge_fixed,0.003228750021662563
65544,2,1000,-0.510087602509794,0.510087602509794,ridge_fixed,0.0032392910216003656
