method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
GELS,GELS,11,2037,7,3500,0.049608712191414384,0.03992361413515888,0.0007299499989903724,0.000707930071826509,0.9791894376838911,0.9695558223289316,4,9,13,0.0008172044093100136,0.0007975949053535641,0.9792716422181152,0.9728211284513805,4,9,14
GELS,GELS,11,2037,8,4000,0.041208981071777284,0.04832334525479598,0.000890319867042718,0.000875924694219251,0.9833825053368863,0.977719087635054,4,9,13,0.0009789862102199227,0.0009655895277463062,0.9830059979465156,0.9791596638655462,4,9,14
GELS,GELS,11,2037,9,4500,0.05361917590624543,0.03591315042032783,0.0006453470847158232,0.0006277207975298881,0.9854914474120309,0.9792557022809123,4,9,13,0.0007328530820091512,0.0007173856310569432,0.9854785244380625,0.98031212484994,4,9,14
GELS,GELS,11,2037,10,5000,0.057437937972314224,0.03209438835425904,0.0005723003955680205,0.0005513455562085122,0.9843409574426103,0.9778151260504201,4,9,13,0.0006598462257933219,0.0006410103897355673,0.9838163280832475,0.98031212484994,4,9,14
GELS,GELS,11,2037,11,5500,0.0596556685784031,0.029876657748170166,0.0005262230373609042,0.0005069909440867346,0.9867308567325912,0.9806962785114045,5,9,13,0.0006134997224078942,0.0005966557776137898,0.9865046572742074,0.9821368547418967,5,9,14
GELS,GELS,11,2037,12,6000,0.05658783728624028,0.03294448904033298,0.0005813976397922087,0.000568347569929991,0.9901995871508991,0.9857863145258102,5,9,13,0.0006701793386349411,0.0006580124034570461,0.9894357451764922,0.9862665066026409,5,9,14
GELS,GELS,11,2037,13,6500,0.05242708828900611,0.037105238037567156,0.0006635040940659986,0.0006515625498746745,0.990107401042354,0.9868427370948378,5,10,14,0.000752541801866045,0.0007412273834017296,0.9892315095953624,0.9867466986794717,5,10,14
GELS,GELS,11,2037,14,7000,0.05741485252821166,0.03211747379836161,0.0005640320787881325,0.0005518072650905634,0.9909693643309121,0.9861704681872748,5,10,13,0.000652691289165288,0.0006414720986176187,0.9904281268146988,0.9867466986794717,5,10,14
GELS,GELS,11,2037,15,7500,0.0686769905471416,0.02085533577943166,0.0003510875804953405,0.0003270267337934158,0.9890290626116246,0.9850180072028811,5,10,13,0.00043730627663201443,0.00041622933823901975,0.9881648864713933,0.9850180072028811,5,10,14
GELS,GELS,11,2037,16,8000,0.073336310154271,0.016196016172302263,0.00026602659173594935,0.0002407770634684296,0.9892144662322938,0.9863625450180071,5,10,13,0.0003498932969297286,0.0003259671801222613,0.9880983825911193,0.9861704681872748,5,10,14
